"ID","exercise_name","image_url","level","reps","gender","body_part","equipment"
"[382929,630580905]","Pendlay Row","https://static.strengthlevel.com/images/silhouettes/pendlay-row-256x256.png","Beginner","0.40x","Female","Back","Barbell"
"[382929,630580906]","Pendlay Row","https://static.strengthlevel.com/images/silhouettes/pendlay-row-256x256.png","Novice","0.55x","Female","Back","Barbell"
"[382929,630580907]","Pendlay Row","https://static.strengthlevel.com/images/silhouettes/pendlay-row-256x256.png","Intermediate","0.80x","Female","Back","Barbell"
"[382929,630580908]","Pendlay Row","https://static.strengthlevel.com/images/silhouettes/pendlay-row-256x256.png","Advanced","1.05x","Female","Back","Barbell"
"[382929,630580909]","Pendlay Row","https://static.strengthlevel.com/images/silhouettes/pendlay-row-256x256.png","Elite","1.35x","Female","Back","Barbell"
"[382929,630580910]","Bench Pull","https://static.strengthlevel.com/images/silhouettes/bench-pull-256x256.png","Beginner","0.50x","Male","Back","Barbell"
"[382929,630580911]","Bench Pull","https://static.strengthlevel.com/images/silhouettes/bench-pull-256x256.png","Novice","0.75x","Male","Back","Barbell"
"[382929,630580912]","Bench Pull","https://static.strengthlevel.com/images/silhouettes/bench-pull-256x256.png","Intermediate","1.00x","Male","Back","Barbell"
"[382929,630580913]","Bench Pull","https://static.strengthlevel.com/images/silhouettes/bench-pull-256x256.png","Advanced","1.50x","Male","Back","Barbell"
"[382929,630580914]","Bench Pull","https://static.strengthlevel.com/images/silhouettes/bench-pull-256x256.png","Elite","2.00x","Male","Back","Barbell"
"[382929,630580915]","Bench Pull","https://static.strengthlevel.com/images/silhouettes/bench-pull-256x256.png","Beginner","0.15x","Female","Back","Barbell"
"[382929,630580916]","Bench Pull","https://static.strengthlevel.com/images/silhouettes/bench-pull-256x256.png","Novice","0.30x","Female","Back","Barbell"
"[382929,630580917]","Bench Pull","https://static.strengthlevel.com/images/silhouettes/bench-pull-256x256.png","Intermediate","0.50x","Female","Back","Barbell"
"[382929,630580918]","Bench Pull","https://static.strengthlevel.com/images/silhouettes/bench-pull-256x256.png","Advanced","0.75x","Female","Back","Barbell"
"[382929,630580919]","Bench Pull","https://static.strengthlevel.com/images/silhouettes/bench-pull-256x256.png","Elite","1.00x","Female","Back","Barbell"
"[382929,630580920]","Yates Row","https://static.strengthlevel.com/images/silhouettes/yates-row-256x256.png","Beginner","0.75x","Male","Back","Barbell"
"[382929,630580921]","Yates Row","https://static.strengthlevel.com/images/silhouettes/yates-row-256x256.png","Novice","1.00x","Male","Back","Barbell"
"[382929,630580922]","Yates Row","https://static.strengthlevel.com/images/silhouettes/yates-row-256x256.png","Intermediate","1.25x","Male","Back","Barbell"
"[382929,630580923]","Yates Row","https://static.strengthlevel.com/images/silhouettes/yates-row-256x256.png","Advanced","1.75x","Male","Back","Barbell"
"[382929,630580924]","Yates Row","https://static.strengthlevel.com/images/silhouettes/yates-row-256x256.png","Elite","2.25x","Male","Back","Barbell"
"[382929,630580925]","Yates Row","https://static.strengthlevel.com/images/silhouettes/yates-row-256x256.png","Beginner","0.30x","Female","Back","Barbell"
"[382929,630580926]","Yates Row","https://static.strengthlevel.com/images/silhouettes/yates-row-256x256.png","Novice","0.50x","Female","Back","Barbell"
"[382929,630580927]","Yates Row","https://static.strengthlevel.com/images/silhouettes/yates-row-256x256.png","Intermediate","0.70x","Female","Back","Barbell"
"[382929,630580928]","Yates Row","https://static.strengthlevel.com/images/silhouettes/yates-row-256x256.png","Advanced","1.00x","Female","Back","Barbell"
"[382929,630580929]","Yates Row","https://static.strengthlevel.com/images/silhouettes/yates-row-256x256.png","Elite","1.30x","Female","Back","Barbell"
"[382929,630580930]","Barbell Pullover","https://static.strengthlevel.com/images/silhouettes/barbell-pullover-256x256.png","Beginner","0.15x","Male","Back","Barbell"
"[382929,630580931]","Barbell Pullover","https://static.strengthlevel.com/images/silhouettes/barbell-pullover-256x256.png","Novice","0.35x","Male","Back","Barbell"
"[382929,630580932]","Barbell Pullover","https://static.strengthlevel.com/images/silhouettes/barbell-pullover-256x256.png","Intermediate","0.60x","Male","Back","Barbell"
"[382929,630580933]","Barbell Pullover","https://static.strengthlevel.com/images/silhouettes/barbell-pullover-256x256.png","Advanced","0.90x","Male","Back","Barbell"
"[382929,630580934]","Barbell Pullover","https://static.strengthlevel.com/images/silhouettes/barbell-pullover-256x256.png","Elite","1.30x","Male","Back","Barbell"
"[382929,630580935]","Barbell Pullover","https://static.strengthlevel.com/images/silhouettes/barbell-pullover-256x256.png","Beginner","0.05x","Female","Back","Barbell"
"[382929,630580936]","Barbell Pullover","https://static.strengthlevel.com/images/silhouettes/barbell-pullover-256x256.png","Novice","0.15x","Female","Back","Barbell"
"[382929,630580937]","Barbell Pullover","https://static.strengthlevel.com/images/silhouettes/barbell-pullover-256x256.png","Intermediate","0.20x","Female","Back","Barbell"
"[382929,630580938]","Barbell Pullover","https://static.strengthlevel.com/images/silhouettes/barbell-pullover-256x256.png","Advanced","0.30x","Female","Back","Barbell"
"[382929,630580939]","Barbell Pullover","https://static.strengthlevel.com/images/silhouettes/barbell-pullover-256x256.png","Elite","0.45x","Female","Back","Barbell"
"[382929,630580940]","Bent Arm Barbell Pullover","https://static.strengthlevel.com/images/silhouettes/bent-arm-barbell-pullover-256x256.png","Beginner","0.10x","Male","Back","Barbell"
"[382929,630580941]","Bent Arm Barbell Pullover","https://static.strengthlevel.com/images/silhouettes/bent-arm-barbell-pullover-256x256.png","Novice","0.20x","Male","Back","Barbell"
"[382929,630580942]","Bent Arm Barbell Pullover","https://static.strengthlevel.com/images/silhouettes/bent-arm-barbell-pullover-256x256.png","Intermediate","0.30x","Male","Back","Barbell"
"[382929,630580943]","Bent Arm Barbell Pullover","https://static.strengthlevel.com/images/silhouettes/bent-arm-barbell-pullover-256x256.png","Advanced","0.50x","Male","Back","Barbell"
"[382929,630580944]","Bent Arm Barbell Pullover","https://static.strengthlevel.com/images/silhouettes/bent-arm-barbell-pullover-256x256.png","Elite","0.65x","Male","Back","Barbell"
"[382929,630580945]","Bent Arm Barbell Pullover","https://static.strengthlevel.com/images/silhouettes/bent-arm-barbell-pullover-256x256.png","Beginner","0.05x","Female","Back","Barbell"
"[382929,630580946]","Bent Arm Barbell Pullover","https://static.strengthlevel.com/images/silhouettes/bent-arm-barbell-pullover-256x256.png","Novice","0.15x","Female","Back","Barbell"
"[382929,630580947]","Bent Arm Barbell Pullover","https://static.strengthlevel.com/images/silhouettes/bent-arm-barbell-pullover-256x256.png","Intermediate","0.20x","Female","Back","Barbell"
"[382929,630580948]","Bent Arm Barbell Pullover","https://static.strengthlevel.com/images/silhouettes/bent-arm-barbell-pullover-256x256.png","Advanced","0.30x","Female","Back","Barbell"
"[382929,630580949]","Bent Arm Barbell Pullover","https://static.strengthlevel.com/images/silhouettes/bent-arm-barbell-pullover-256x256.png","Elite","0.45x","Female","Back","Barbell"
"[382929,630580950]","Barbell Power Shrug","https://static.strengthlevel.com/images/silhouettes/barbell-power-shrug-256x256.png","Beginner","0.50x","Male","Back","Barbell"
"[382929,630580951]","Barbell Power Shrug","https://static.strengthlevel.com/images/silhouettes/barbell-power-shrug-256x256.png","Novice","1.25x","Male","Back","Barbell"
"[382929,630580952]","Barbell Power Shrug","https://static.strengthlevel.com/images/silhouettes/barbell-power-shrug-256x256.png","Intermediate","2.00x","Male","Back","Barbell"
"[382929,630580953]","Barbell Power Shrug","https://static.strengthlevel.com/images/silhouettes/barbell-power-shrug-256x256.png","Advanced","3.00x","Male","Back","Barbell"
"[382929,630580954]","Barbell Power Shrug","https://static.strengthlevel.com/images/silhouettes/barbell-power-shrug-256x256.png","Elite","4.00x","Male","Back","Barbell"
"[382929,630580955]","Barbell Power Shrug","https://static.strengthlevel.com/images/silhouettes/barbell-power-shrug-256x256.png","Beginner","0.25x","Female","Back","Barbell"
"[382929,630580956]","Barbell Power Shrug","https://static.strengthlevel.com/images/silhouettes/barbell-power-shrug-256x256.png","Novice","0.50x","Female","Back","Barbell"
"[382929,630580957]","Barbell Power Shrug","https://static.strengthlevel.com/images/silhouettes/barbell-power-shrug-256x256.png","Intermediate","1.00x","Female","Back","Barbell"
"[382929,630580958]","Barbell Power Shrug","https://static.strengthlevel.com/images/silhouettes/barbell-power-shrug-256x256.png","Advanced","1.50x","Female","Back","Barbell"
"[382929,630580959]","Barbell Power Shrug","https://static.strengthlevel.com/images/silhouettes/barbell-power-shrug-256x256.png","Elite","2.25x","Female","Back","Barbell"
"[382929,630580960]","Smith Machine Shrug","https://static.strengthlevel.com/images/silhouettes/smith-machine-shrug-256x256.png","Beginner","0.75x","Male","Back","Barbell"
"[382929,630580961]","Smith Machine Shrug","https://static.strengthlevel.com/images/silhouettes/smith-machine-shrug-256x256.png","Novice","1.00x","Male","Back","Barbell"
"[382929,630580962]","Smith Machine Shrug","https://static.strengthlevel.com/images/silhouettes/smith-machine-shrug-256x256.png","Intermediate","1.75x","Male","Back","Barbell"
"[382929,630580963]","Smith Machine Shrug","https://static.strengthlevel.com/images/silhouettes/smith-machine-shrug-256x256.png","Advanced","2.25x","Male","Back","Barbell"
"[382929,630580964]","Smith Machine Shrug","https://static.strengthlevel.com/images/silhouettes/smith-machine-shrug-256x256.png","Elite","3.00x","Male","Back","Barbell"
"[382929,630580965]","Smith Machine Shrug","https://static.strengthlevel.com/images/silhouettes/smith-machine-shrug-256x256.png","Beginner","0.25x","Female","Back","Barbell"
"[382929,630580966]","Smith Machine Shrug","https://static.strengthlevel.com/images/silhouettes/smith-machine-shrug-256x256.png","Novice","0.50x","Female","Back","Barbell"
"[382929,630580967]","Smith Machine Shrug","https://static.strengthlevel.com/images/silhouettes/smith-machine-shrug-256x256.png","Intermediate","1.00x","Female","Back","Barbell"
"[382929,630580968]","Smith Machine Shrug","https://static.strengthlevel.com/images/silhouettes/smith-machine-shrug-256x256.png","Advanced","1.50x","Female","Back","Barbell"
"[382929,630580969]","Smith Machine Shrug","https://static.strengthlevel.com/images/silhouettes/smith-machine-shrug-256x256.png","Elite","2.25x","Female","Back","Barbell"
"[382929,630580970]","Hex Bar Shrug","https://static.strengthlevel.com/images/silhouettes/hex-bar-shrug-256x256.png","Beginner","0.50x","Male","Back","Barbell"
"[382929,630580971]","Hex Bar Shrug","https://static.strengthlevel.com/images/silhouettes/hex-bar-shrug-256x256.png","Novice","1.00x","Male","Back","Barbell"
"[382929,630580972]","Hex Bar Shrug","https://static.strengthlevel.com/images/silhouettes/hex-bar-shrug-256x256.png","Intermediate","1.75x","Male","Back","Barbell"
"[382929,630580973]","Hex Bar Shrug","https://static.strengthlevel.com/images/silhouettes/hex-bar-shrug-256x256.png","Advanced","2.25x","Male","Back","Barbell"
"[382929,630580974]","Hex Bar Shrug","https://static.strengthlevel.com/images/silhouettes/hex-bar-shrug-256x256.png","Elite","3.25x","Male","Back","Barbell"
"[382929,630580975]","Hex Bar Shrug","https://static.strengthlevel.com/images/silhouettes/hex-bar-shrug-256x256.png","Beginner","0.25x","Female","Back","Barbell"
"[382929,630580976]","Hex Bar Shrug","https://static.strengthlevel.com/images/silhouettes/hex-bar-shrug-256x256.png","Novice","0.50x","Female","Back","Barbell"
"[382929,630580977]","Hex Bar Shrug","https://static.strengthlevel.com/images/silhouettes/hex-bar-shrug-256x256.png","Intermediate","1.00x","Female","Back","Barbell"
"[382929,630580978]","Hex Bar Shrug","https://static.strengthlevel.com/images/silhouettes/hex-bar-shrug-256x256.png","Advanced","1.50x","Female","Back","Barbell"
"[382929,630580979]","Hex Bar Shrug","https://static.strengthlevel.com/images/silhouettes/hex-bar-shrug-256x256.png","Elite","2.25x","Female","Back","Barbell"
"[382929,630580980]","Behind The Back Barbell Shrug","https://static.strengthlevel.com/images/silhouettes/behind-the-back-barbell-shrug-256x256.png","Beginner","0.50x","Male","Back","Barbell"
"[382929,630580981]","Behind The Back Barbell Shrug","https://static.strengthlevel.com/images/silhouettes/behind-the-back-barbell-shrug-256x256.png","Novice","1.00x","Male","Back","Barbell"
"[382929,630580982]","Behind The Back Barbell Shrug","https://static.strengthlevel.com/images/silhouettes/behind-the-back-barbell-shrug-256x256.png","Intermediate","1.75x","Male","Back","Barbell"
"[382929,630580983]","Behind The Back Barbell Shrug","https://static.strengthlevel.com/images/silhouettes/behind-the-back-barbell-shrug-256x256.png","Advanced","2.25x","Male","Back","Barbell"
"[382929,630580984]","Behind The Back Barbell Shrug","https://static.strengthlevel.com/images/silhouettes/behind-the-back-barbell-shrug-256x256.png","Elite","3.25x","Male","Back","Barbell"
"[382929,630580985]","Behind The Back Barbell Shrug","https://static.strengthlevel.com/images/silhouettes/behind-the-back-barbell-shrug-256x256.png","Beginner","0.25x","Female","Back","Barbell"
"[382929,630580986]","Behind The Back Barbell Shrug","https://static.strengthlevel.com/images/silhouettes/behind-the-back-barbell-shrug-256x256.png","Novice","0.50x","Female","Back","Barbell"
"[382929,630580987]","Behind The Back Barbell Shrug","https://static.strengthlevel.com/images/silhouettes/behind-the-back-barbell-shrug-256x256.png","Intermediate","1.00x","Female","Back","Barbell"
"[382929,630580988]","Behind The Back Barbell Shrug","https://static.strengthlevel.com/images/silhouettes/behind-the-back-barbell-shrug-256x256.png","Advanced","1.50x","Female","Back","Barbell"
"[382929,630580989]","Behind The Back Barbell Shrug","https://static.strengthlevel.com/images/silhouettes/behind-the-back-barbell-shrug-256x256.png","Elite","2.25x","Female","Back","Barbell"
"[382929,630580990]","Meadows Row","https://static.strengthlevel.com/images/silhouettes/meadows-row-256x256.png","Beginner","0.15x","Male","Back","Barbell"
"[382929,630580991]","Meadows Row","https://static.strengthlevel.com/images/silhouettes/meadows-row-256x256.png","Novice","0.30x","Male","Back","Barbell"
"[382929,630580992]","Meadows Row","https://static.strengthlevel.com/images/silhouettes/meadows-row-256x256.png","Intermediate","0.50x","Male","Back","Barbell"
"[382929,630580993]","Meadows Row","https://static.strengthlevel.com/images/silhouettes/meadows-row-256x256.png","Advanced","0.75x","Male","Back","Barbell"
"[382929,630580994]","Meadows Row","https://static.strengthlevel.com/images/silhouettes/meadows-row-256x256.png","Elite","1.05x","Male","Back","Barbell"
"[382929,630580995]","Meadows Row","https://static.strengthlevel.com/images/silhouettes/meadows-row-256x256.png","Beginner","0.10x","Female","Back","Barbell"
"[382929,630580996]","Meadows Row","https://static.strengthlevel.com/images/silhouettes/meadows-row-256x256.png","Novice","0.20x","Female","Back","Barbell"
"[382929,630580997]","Meadows Row","https://static.strengthlevel.com/images/silhouettes/meadows-row-256x256.png","Intermediate","0.30x","Female","Back","Barbell"
"[382929,630580998]","Meadows Row","https://static.strengthlevel.com/images/silhouettes/meadows-row-256x256.png","Advanced","0.45x","Female","Back","Barbell"
"[382929,630580999]","Meadows Row","https://static.strengthlevel.com/images/silhouettes/meadows-row-256x256.png","Elite","0.65x","Female","Back","Barbell"
"[382929,630581001]","Pull Ups","https://static.strengthlevel.com/images/silhouettes/pull-ups-256x256.png","Beginner","< 1","Male","Back","Body Weight"
"[382929,630581002]","Pull Ups","https://static.strengthlevel.com/images/silhouettes/pull-ups-256x256.png","Novice","5","Male","Back","Body Weight"
"[382929,630581003]","Pull Ups","https://static.strengthlevel.com/images/silhouettes/pull-ups-256x256.png","Intermediate","14","Male","Back","Body Weight"
"[382929,630581004]","Pull Ups","https://static.strengthlevel.com/images/silhouettes/pull-ups-256x256.png","Advanced","25","Male","Back","Body Weight"
"[382929,630581005]","Pull Ups","https://static.strengthlevel.com/images/silhouettes/pull-ups-256x256.png","Elite","37","Male","Back","Body Weight"
"[382929,630581006]","Pull Ups","https://static.strengthlevel.com/images/silhouettes/pull-ups-256x256.png","Beginner","< 1","Female","Back","Body Weight"
"[382929,630581007]","Pull Ups","https://static.strengthlevel.com/images/silhouettes/pull-ups-256x256.png","Novice","< 1","Female","Back","Body Weight"
"[382929,630581008]","Pull Ups","https://static.strengthlevel.com/images/silhouettes/pull-ups-256x256.png","Intermediate","6","Female","Back","Body Weight"
"[382929,630581009]","Pull Ups","https://static.strengthlevel.com/images/silhouettes/pull-ups-256x256.png","Advanced","15","Female","Back","Body Weight"
"[382929,630581010]","Pull Ups","https://static.strengthlevel.com/images/silhouettes/pull-ups-256x256.png","Elite","26","Female","Back","Body Weight"
"[382929,630581011]","Chin Ups","https://static.strengthlevel.com/images/silhouettes/chin-ups-256x256.png","Beginner","< 1","Male","Back","Body Weight"
"[382929,630581012]","Chin Ups","https://static.strengthlevel.com/images/silhouettes/chin-ups-256x256.png","Novice","6","Male","Back","Body Weight"
"[382929,630581013]","Chin Ups","https://static.strengthlevel.com/images/silhouettes/chin-ups-256x256.png","Intermediate","14","Male","Back","Body Weight"
"[382929,630581014]","Chin Ups","https://static.strengthlevel.com/images/silhouettes/chin-ups-256x256.png","Advanced","24","Male","Back","Body Weight"
"[382929,630581015]","Chin Ups","https://static.strengthlevel.com/images/silhouettes/chin-ups-256x256.png","Elite","35","Male","Back","Body Weight"
"[382929,630581016]","Chin Ups","https://static.strengthlevel.com/images/silhouettes/chin-ups-256x256.png","Beginner","< 1","Female","Back","Body Weight"
"[382929,630581017]","Chin Ups","https://static.strengthlevel.com/images/silhouettes/chin-ups-256x256.png","Novice","< 1","Female","Back","Body Weight"
"[382929,630581018]","Chin Ups","https://static.strengthlevel.com/images/silhouettes/chin-ups-256x256.png","Intermediate","6","Female","Back","Body Weight"
"[382929,630581019]","Chin Ups","https://static.strengthlevel.com/images/silhouettes/chin-ups-256x256.png","Advanced","13","Female","Back","Body Weight"
"[382929,630581020]","Chin Ups","https://static.strengthlevel.com/images/silhouettes/chin-ups-256x256.png","Elite","22","Female","Back","Body Weight"
"[382929,630581021]","Neutral Grip Pull Ups","https://static.strengthlevel.com/images/silhouettes/neutral-grip-pull-ups-256x256.png","Beginner","< 1","Male","Back","Body Weight"
"[382929,630581022]","Neutral Grip Pull Ups","https://static.strengthlevel.com/images/silhouettes/neutral-grip-pull-ups-256x256.png","Novice","5","Male","Back","Body Weight"
"[382929,630581023]","Neutral Grip Pull Ups","https://static.strengthlevel.com/images/silhouettes/neutral-grip-pull-ups-256x256.png","Intermediate","15","Male","Back","Body Weight"
"[382929,630581024]","Neutral Grip Pull Ups","https://static.strengthlevel.com/images/silhouettes/neutral-grip-pull-ups-256x256.png","Advanced","28","Male","Back","Body Weight"
"[382929,630581025]","Neutral Grip Pull Ups","https://static.strengthlevel.com/images/silhouettes/neutral-grip-pull-ups-256x256.png","Elite","41","Male","Back","Body Weight"
"[382929,630581026]","Neutral Grip Pull Ups","https://static.strengthlevel.com/images/silhouettes/neutral-grip-pull-ups-256x256.png","Beginner","< 1","Female","Back","Body Weight"
"[382929,630581027]","Neutral Grip Pull Ups","https://static.strengthlevel.com/images/silhouettes/neutral-grip-pull-ups-256x256.png","Novice","< 1","Female","Back","Body Weight"
"[382929,630581028]","Neutral Grip Pull Ups","https://static.strengthlevel.com/images/silhouettes/neutral-grip-pull-ups-256x256.png","Intermediate","7","Female","Back","Body Weight"
"[382929,630581029]","Neutral Grip Pull Ups","https://static.strengthlevel.com/images/silhouettes/neutral-grip-pull-ups-256x256.png","Advanced","15","Female","Back","Body Weight"
"[382929,630581030]","Neutral Grip Pull Ups","https://static.strengthlevel.com/images/silhouettes/neutral-grip-pull-ups-256x256.png","Elite","25","Female","Back","Body Weight"
"[382929,630581031]","Back Extension","https://static.strengthlevel.com/images/silhouettes/back-extension-256x256.png","Beginner","< 1","Male","Back","Body Weight"
"[382929,630581032]","Back Extension","https://static.strengthlevel.com/images/silhouettes/back-extension-256x256.png","Novice","7","Male","Back","Body Weight"
"[382929,630581033]","Back Extension","https://static.strengthlevel.com/images/silhouettes/back-extension-256x256.png","Intermediate","28","Male","Back","Body Weight"
"[382929,630581034]","Back Extension","https://static.strengthlevel.com/images/silhouettes/back-extension-256x256.png","Advanced","55","Male","Back","Body Weight"
"[382929,630581035]","Back Extension","https://static.strengthlevel.com/images/silhouettes/back-extension-256x256.png","Elite","87","Male","Back","Body Weight"
"[382929,630581036]","Back Extension","https://static.strengthlevel.com/images/silhouettes/back-extension-256x256.png","Beginner","< 1","Female","Back","Body Weight"
"[382929,630581037]","Back Extension","https://static.strengthlevel.com/images/silhouettes/back-extension-256x256.png","Novice","6","Female","Back","Body Weight"
"[382929,630581038]","Back Extension","https://static.strengthlevel.com/images/silhouettes/back-extension-256x256.png","Intermediate","20","Female","Back","Body Weight"
"[382929,630581039]","Back Extension","https://static.strengthlevel.com/images/silhouettes/back-extension-256x256.png","Advanced","38","Female","Back","Body Weight"
"[382929,630581040]","Back Extension","https://static.strengthlevel.com/images/silhouettes/back-extension-256x256.png","Elite","58","Female","Back","Body Weight"
"[382929,630581041]","One Arm Pull Ups","https://static.strengthlevel.com/images/silhouettes/one-arm-pull-ups-256x256.png","Beginner","< 1","Male","Back","Body Weight"
"[382929,630581042]","One Arm Pull Ups","https://static.strengthlevel.com/images/silhouettes/one-arm-pull-ups-256x256.png","Novice","< 1","Male","Back","Body Weight"
"[382929,630581043]","One Arm Pull Ups","https://static.strengthlevel.com/images/silhouettes/one-arm-pull-ups-256x256.png","Intermediate","5","Male","Back","Body Weight"
"[382929,630581044]","One Arm Pull Ups","https://static.strengthlevel.com/images/silhouettes/one-arm-pull-ups-256x256.png","Advanced","11","Male","Back","Body Weight"
"[382929,630581045]","One Arm Pull Ups","https://static.strengthlevel.com/images/silhouettes/one-arm-pull-ups-256x256.png","Elite","19","Male","Back","Body Weight"
"[382929,630581046]","One Arm Pull Ups","https://static.strengthlevel.com/images/silhouettes/one-arm-pull-ups-256x256.png","Beginner","< 1","Female","Back","Body Weight"
"[382929,630581047]","One Arm Pull Ups","https://static.strengthlevel.com/images/silhouettes/one-arm-pull-ups-256x256.png","Novice","< 1","Female","Back","Body Weight"
"[382929,630581048]","One Arm Pull Ups","https://static.strengthlevel.com/images/silhouettes/one-arm-pull-ups-256x256.png","Intermediate","9","Female","Back","Body Weight"
"[382929,630581049]","One Arm Pull Ups","https://static.strengthlevel.com/images/silhouettes/one-arm-pull-ups-256x256.png","Advanced","28","Female","Back","Body Weight"
"[382929,630581050]","One Arm Pull Ups","https://static.strengthlevel.com/images/silhouettes/one-arm-pull-ups-256x256.png","Elite","52","Female","Back","Body Weight"
"[382929,630581051]","Inverted Row","https://static.strengthlevel.com/images/silhouettes/inverted-row-256x256.png","Beginner","< 1","Male","Back","Body Weight"
"[382929,630581052]","Inverted Row","https://static.strengthlevel.com/images/silhouettes/inverted-row-256x256.png","Novice","6","Male","Back","Body Weight"
